currente6k,time6k,current8k,time8k,current10k,time10k,current12k,time12k,current15k,time15k,current20k,time20k,current25k,time25k,current30k,time30k,current40k,time40k,current50k,time50k,current65k,time65k,current80k,time80k,current100k,time100k,current140k,time140k,current200k,time200k
230.983,0.01,320.648,0.01,422.988,0.01,548.037,0.01,708.637,0.01,921.813,0.01,1175.37,0.01,1455.84,0.01,1903.29,0.01,2421.98,0.01,2999.92,0.01,3937.65,0.01,4931.21,0.01,7834.87,0.01,10000,0.014903
220.598,0.010953,308.075,0.010855,403.971,0.010953,526.022,0.010855,672.729,0.011107,873.356,0.011152,1118.05,0.011052,1390.39,0.011008,1814.09,0.011019,2308.47,0.011008,2859.32,0.011008,3768.15,0.010931,4676.66,0.011085,7452.76,0.011085,9370.67,0.016989
202.015,0.01306,287.535,0.012486,370.311,0.013021,487.526,0.012649,626.622,0.01284,807.823,0.013034,1029,0.013021,1275.81,0.013034,1659.61,0.013192,2128.86,0.012905,2621.08,0.013047,3492.39,0.012725,4123.02,0.014205,6736.8,0.013675,8564.15,0.020483
184.443,0.015715,265.693,0.014623,330.743,0.016372,447.798,0.014963,577.867,0.015023,703.694,0.01716,932.942,0.015841,1146.35,0.016177,1476.37,0.016686,1912.83,0.015984,2343.36,0.016372,3160.04,0.015481,3726.93,0.01735,5986.97,0.017229,7866.28,0.0244
164.571,0.019582,244.531,0.017281,298.671,0.020057,405.185,0.018239,535.041,0.017542,642.485,0.020565,841.632,0.019387,1023.86,0.020218,1302.89,0.021383,1722.17,0.019759,2101.36,0.020178,2925.85,0.018022,3282.43,0.022389,5401,0.021191,7189.24,0.029212
144.943,0.025219,220.598,0.021191,268.632,0.024794,368.833,0.022012,475.489,0.022233,569.833,0.026091,736.083,0.025396,921.813,0.025043,1163.68,0.026698,1558.28,0.024061,1901.39,0.02467,2725.32,0.020792,2905.44,0.028548,4852.94,0.026117,6643.14,0.034144
131.676,0.030526,201.008,0.025472,233.771,0.032707,333.734,0.026886,434.999,0.026565,521.831,0.031174,652.195,0.032317,820.032,0.031614,1027.97,0.03435,1375.18,0.030895,1689.76,0.031205,2441.43,0.025702,2584.64,0.035931,4343.09,0.032772,5992.96,0.041787
117.371,0.03842,177.389,0.032772,209.839,0.040593,303.488,0.032446,390.077,0.033069,471.7,0.038267,577.867,0.041289,734.612,0.039314,910.818,0.043711,1231.93,0.038574,1486.74,0.040229,2233.53,0.03071,2290.08,0.04586,3894.58,0.040633,5449.83,0.050784
107.484,0.045768,162.445,0.038962,189.491,0.050128,273.785,0.039789,357.217,0.039432,422.143,0.047588,509.456,0.053228,650.241,0.049928,831.593,0.052174,1124.78,0.046228,1317.3,0.051192,2057.69,0.036075,2051.53,0.056974,3495.88,0.050734,5015.76,0.059955
94.476,0.059062,146.546,0.047779,173.529,0.059895,248.724,0.048308,321.933,0.048647,385.038,0.057546,447.798,0.069102,586.014,0.061534,731.68,0.067262,1030.03,0.05529,1175.37,0.064302,1880.59,0.043406,1792.45,0.074858,3194.99,0.060497,4574.9,0.071923
852.293,0.072428,132.733,0.058416,156.858,0.072791,221.482,0.060739,295.109,0.057893,341.84,0.072718,399.951,0.086539,529.717,0.075233,659.408,0.082648,926.434,0.06862,1053.99,0.079885,1718.73,0.051966,1610.56,0.092628,2862.18,0.075384,4168.62,0.086279
752.899,0.092721,119.026,0.072355,140.8,0.090794,191.013,0.081499,269.979,0.06931,300.769,0.093746,358.29,0.107726,481.229,0.091249,596.657,0.101149,824.967,0.086539,932.942,0.101859,1558.28,0.063092,1421.32,0.119533,2613.22,0.090612,3828.93,0.102883
659.796,0.120493,107.377,0.089174,128.296,0.109463,171.287,0.101554,247.236,0.082318,266.225,0.120132,319.368,0.136127,439.371,0.109026,528.13,0.128714,741.254,0.107082,843.317,0.124287,1421.32,0.076065,1241.83,0.156115,2374.02,0.109792,3523.96,0.122436
581.686,0.155181,969.646,0.109136,116.203,0.132766,156.232,0.121826,225.957,0.099047,235.649,0.153023,284.105,0.172189,398.753,0.132369,471.229,0.162323,666.702,0.132634,767.657,0.149395,1292.51,0.091982,1103.61,0.199256,2178.39,0.13079,3201.39,0.151047
518.495,0.195506,87.825,0.133298,104.725,0.164942,141.648,0.147465,207.129,0.117989,210.681,0.191827,256.555,0.210944,360.086,0.163464,414.612,0.209054,588.951,0.170305,700.184,0.179216,1188.37,0.108809,968.107,0.257647,1977.01,0.162323,2955.25,0.181379
460.324,0.248786,78.598,0.166599,967.708,0.192403,130.235,0.174966,190.441,0.139434,191.971,0.230118,228.913,0.263379,327.125,0.197866,366.626,0.266292,520.268,0.218239,643.128,0.212638,1062.46,0.13681,843.317,0.337172,1774.62,0.2043,2797.1,0.20656
430.063,0.287606,712.608,0.20247,899.583,0.222871,119.145,0.209263,171.459,0.172361,178.1,0.268162,208.584,0.318172,295.699,0.242643,326.798,0.335155,463.749,0.275226,587.187,0.254574,959.433,0.167602,741.254,0.437289,1656.3,0.238077,2644.77,0.237839
400.587,0.33549,649.323,0.246557,842.127,0.255595,110.205,0.244348,155.764,0.208636,166.391,0.30846,188.358,0.392522,262.262,0.308769,292.464,0.420563,416.69,0.341242,535.576,0.306002,859.493,0.208428,670.714,0.535175,1525.9,0.287032,2523.34,0.268431
374.627,0.388228,597.606,0.293416,791.501,0.289627,101.834,0.287032,143.071,0.24705,157.015,0.347093,175.975,0.453318,237.542,0.377886,272.147,0.488136,377.414,0.419722,490.46,0.365619,778.48,0.255084,611.762,0.651707,1390.39,0.352691,2414.72,0.301447
354.934,0.43992,553.317,0.345017,743.918,0.330165,948.546,0.331488,132.203,0.290206,145.961,0.404476,165.066,0.518839,215.367,0.462013,253.495,0.568269,337.763,0.528791,455.932,0.42564,714.329,0.303261,570.974,0.761732,1289.92,0.419303,2310.78,0.340561
335.268,0.504513,508.228,0.414716,695.013,0.380541,872.123,0.393702,120.342,0.351987,137.599,0.457874,154.214,0.597404,195.849,0.567133,239.21,0.642004,313.671,0.619922,422.988,0.497002,652.847,0.365619,536.648,0.882355,1197.92,0.497997,2213.52,0.384365
